Title,Tag
I tre volti della paura,cult
Mitt liv som hund,cult
The Brood,cult
The Haunted,paranormal
Fallen Angel,paranormal
The Frozen Ground,dramatic
Bean,cult
Ultraviolet,cult
The Initiation,cult
Dead & Breakfast,cult
Whale Rider,dramatic
A Cure for Wellness,paranormal
The Wanderers,cult
Hatari!,cult
Kapringen,dramatic
Fantastic Voyage,cult
The Mentalist,paranormal
Cat's Eye,cult
Bataan,cult
Night of the Lepus,cult
Avenging Angel,cult
Noel,dramatic
Crimson Tide,cult
A Hard Day's Night,cult
Targets,cult
Orgy of the Dead,cult
Paul Blart: Mall Cop,cult
Clash of the Titans,cult
A Perfect World,cult
Zulu,cult
Gli invasori,cult
Fort Apache,cult
Birdemic: Shock and Terror,cult
Paranormal Activity 2,cult
Lara Croft: Tomb Raider,cult
Titan A.E.,cult
Captain Ron,cult
Leprechaun: Back 2 tha Hood,paranormal
Airport,cult
Witness for the Prosecution,dramatic
Young Frankenstein,cult
The Wisdom of Crocodiles,cult
Super Troopers,cult
This Island Earth,cult
Pump Up the Volume,cult
Big Wednesday,cult
The Towering Inferno,cult
Blood & Donuts,cult
Thunderball,cult
Is Anybody There?,paranormal
Frogs,cult
Star Trek VI: The Undiscovered Country,cult
Saturday the 14th,cult
Lifeforce,cult
The Return of the Living Dead,cult
Red Shoe Diaries,cult
Kidnapped,cult
Underworld: Evolution,cult
Storm of the Century,paranormal
City Lights,dramatic
The Karate Kid Part II,dramatic
Toki o kakeru shôjo,dramatic
Erik the Viking,cult
Carnival of Souls,cult
Young Adult,dramatic
Angel,cult
Big Trouble,cult
Chemical Wedding,cult
Fireflies in the Garden,dramatic
Glitter,cult
Friday the 13th Part III,cult
Stop Making Sense,cult
Summer of Sam,cult
Zatôichi monogatari,cult
Lord Love a Duck,cult
House at the End of the Drive,paranormal
Memoirs of a Geisha,dramatic
Vampires: The Turning,cult
Touch,paranormal
Zatôichi monogatari,cult
Silsila,cult
The Night of the Iguana,dramatic
Meet Joe Black,paranormal
Purple Rain,cult
The Gift,paranormal
Code Name: The Cleaner,cult
Killer's Kiss,cult
Star Trek V: The Final Frontier,cult
Dirty Dancing,cult
La vie d'Adèle,dramatic
Tomb Raider,paranormal
Slap Shot,cult
It Follows,paranormal
Night of Dark Shadows,paranormal
Vampire,paranormal
The Witches of Eastwick,paranormal
Backdraft,cult
The Spirit,cult
Ladri di biciclette,paranormal
Cronos,cult
Blacula,cult
The She-Creature,paranormal
The Whole Nine Yards,cult
Rocky V,dramatic
The Poseidon Adventure,cult
The Mangler,cult
Silverado,cult
Tsotsi,dramatic
The Runaways,cult
Birdy,dramatic
The Grapes of Wrath,dramatic
Zero Dark Thirty,dramatic
The Day After Tomorrow,dramatic
Hannah Montana: The Movie,dramatic
Les parapluies de Cherbourg,cult
Seconds,cult
Jagten,dramatic
I Wanna Hold Your Hand,cult
The Lamp,paranormal
Revolution,cult
I Bury the Living,cult
Krampus,paranormal
Drop Dead Fred,cult
Bananas,cult
Ri¢hie Ri¢h,cult
Star Trek III: The Search for Spock,cult
Colossus: The Forbin Project,cult
Cyborg,cult
Don't Tell Mom the Babysitter's Dead,cult
Poltergeist II: The Other Side,paranormal
American Horror Story,paranormal
Dead of Night,cult
Mama,paranormal
Mamma Mia!,cult
The Stuff,cult
Wild Geese II,cult
Scary Movie 5,paranormal
Bad Day at Black Rock,cult
Pee-wee's Big Adventure,cult
The Man with the Golden Gun,cult
Dallas Buyers Club,dramatic
Night of the Ghouls,cult
The X Files: I Want to Believe,paranormal
Invaders from Mars,cult
Rock Star,cult
Sabrina,dramatic
The Frighteners,paranormal
Cult of the Cobra,cult
Billy Madison,cult
Curse of the Black Widow,paranormal
Carrie,paranormal
Tasogare Seibei,dramatic
A League of Their Own,dramatic
Austin Powers: The Spy Who Shagged Me,cult
Hocus Pocus,cult
Witchboard,paranormal
The Seeker: The Dark Is Rising,paranormal
The Beast Within,cult
WrestleMania X-Seven,cult
Wayne's World 2,cult
Poltergeist III,paranormal
Chasing Amy,cult
Steel Magnolias,cult
The Guns of Navarone,cult
The Pagemaster,cult
Body Snatchers,cult
Sid and Nancy,cult
Blood and Lace,cult
Tsotsi,dramatic
Muriel's Wedding,cult
Diabolik,cult
Time Chasers,cult
Fast Times at Ridgemont High,cult
The Baytown Outlaws,cult
Home Alone,cult
The Sound of Music,cult
Race to Witch Mountain,paranormal
Cool Hand Luke,dramatic
Star Trek IV: The Voyage Home,cult
How the Grinch Stole Christmas,cult
Witchcraft 7: Judgement Hour,paranormal
Mad Monster Party?,cult
Shadow of the Vampire,cult
Billy Elliot,dramatic
The Wisdom of Crocodiles,cult
Marley & Me,dramatic
The Sand Pebbles,cult
He Knows You're Alone,cult
Metal Gear Solid,paranormal
Fright Night,cult
Judgment at Nuremberg,dramatic
Messiah of Evil,paranormal
Pretty Baby,cult
You Better Watch Out,cult
The Incredible Shrinking Man,cult
Murder on the Orient Express,dramatic
Graduation Day,cult
A Cinderella Story,dramatic
Master and Commander: The Far Side of the World,dramatic
Ultraviolet,cult